nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W000000060641N,802620000,Eaucourt-sur-Somme,CA de la Baie de Somme,Somme,Hauts-de-France,14/04/2006,14/04/2006,07/08/2020,ABBEV,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,6.0,En service,Enedis
Confidentiel,17W000000379753E,802650000,Embreville,CC des Villes Surs,Somme,Hauts-de-France,04/07/2016,04/07/2016,25/03/2022,SAUCO,HTA,Direct,,,TERRESTRE,,13800.0,13800.0,1.0,En service,Enedis
Confidentiel,17W000000040619S,802680000,Épagne-Épagnette,CA de la Baie de Somme,Somme,Hauts-de-France,01/05/2008,01/05/2008,07/08/2020,ABBEV,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,1.0,En service,Enedis
Confidentiel,17W000001353000N,802710000,Épehy,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,,03/02/2014,29/07/2022,ROISE,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000001353072Z,802710000,Épehy,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,,03/02/2014,29/07/2022,ROISE,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000001470152X,802730000,Éplessier,CC Somme Sud-Ouest,Somme,Hauts-de-France,16/11/2016,16/11/2016,01/11/2022,BLOCA,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,1.0,En service,Enedis
EOLIENNE EPLESSIER I,17W000000389959P,802730000,Éplessier,CC Somme Sud-Ouest,Somme,Hauts-de-France,20/01/2017,20/01/2017,14/05/2021,BLOCA,HTA,Direct,,,TERRESTRE,,12500.0,12500.0,1.0,En service,Enedis
Confidentiel,17W000001495621O,802730000,Éplessier,CC Somme Sud-Ouest,Somme,Hauts-de-France,05/12/2016,05/12/2016,01/11/2022,BLOCA,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,1.0,En service,Enedis
Confidentiel,17W0000004953209,,Éplessier,CC Somme Sud-Ouest,Somme,Hauts-de-France,08/10/2018,08/10/2018,12/12/2022,CROI5,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000000432126,803100000,Fienvillers,CC du Territoire Nord Picardie,Somme,Hauts-de-France,01/01/2007,01/01/2007,03/06/2022,DOULL,HTA,Direct,,,TERRESTRE,,8350.0,8350.0,5.0,En service,Enedis
Confidentiel,17W0000004997404,803120000,Fins,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,10/12/2018,10/12/2018,07/12/2022,,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
