nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
N.SE5N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE NOGENT-SUR-SEINE,17W100P100P1522A,102680102,Nogent-sur-Seine,CC du Nogentais,Aube,Grand Est,01/12/1988,01/05/1989,01/01/2007,N.SE5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1310000.0,1310000.0,1.0,En service,RTE
N.SE5N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE NOGENT-SUR-SEINE,17W100P100P1521C,102680102,Nogent-sur-Seine,CC du Nogentais,Aube,Grand Est,01/10/1987,24/02/1988,01/01/2007,N.SE5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1310000.0,1310000.0,1.0,En service,RTE
BVIL7N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE BELLEVILLE (BELLEVILLE-SUR-LOIRE),17W100P100P0090I,180260000,Belleville-sur-Loire,CC Pays Fort Sancerrois Val de Loire,Cher,Centre-Val de Loire,01/10/1987,01/06/1988,01/01/2007,BVIL7,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1310000.0,1310000.0,1.0,En service,RTE
BVIL7N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE BELLEVILLE (BELLEVILLE-SUR-LOIRE),17W100P100P0091G,180260000,Belleville-sur-Loire,CC Pays Fort Sancerrois Val de Loire,Cher,Centre-Val de Loire,01/07/1988,01/01/1989,01/01/2007,BVIL7,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1310000.0,1310000.0,1.0,En service,RTE
TRICAN02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE TRICASTIN (LE),17W100P100P0150Q,262350104,Pierrelatte,CC Drôme Sud Provence,Drôme,Auvergne-Rhône-Alpes,01/08/1980,01/12/1980,03/01/2021,TRI.P,225 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
TRICAN01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE TRICASTIN (LE),17W100P100P0149B,262350104,Pierrelatte,CC Drôme Sud Provence,Drôme,Auvergne-Rhône-Alpes,01/05/1980,01/12/1980,03/01/2021,TRI.P,225 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
TRICAN04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE TRICASTIN (LE),17W100P100P0153K,262350104,Pierrelatte,CC Drôme Sud Provence,Drôme,Auvergne-Rhône-Alpes,01/06/1981,01/11/1981,03/01/2021,TRI.P,225 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
TRICAN03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE TRICASTIN (LE),17W100P100P0152M,262350104,Pierrelatte,CC Drôme Sud Provence,Drôme,Auvergne-Rhône-Alpes,01/02/1981,01/05/1981,03/01/2021,TRI.P,225 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
BLAYAN02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE BLAYAIS (LE),17W100P100P0093C,330730000,Braud-et-Saint-Louis,CC de l'Estuaire,Gironde,Nouvelle-Aquitaine,01/07/1982,01/02/1983,01/01/2007,BLAYA,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
BLAYAN03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE BLAYAIS (LE),17W100P100P0094A,330730000,Braud-et-Saint-Louis,CC de l'Estuaire,Gironde,Nouvelle-Aquitaine,01/08/1983,01/12/1983,01/01/2007,BLAYA,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
BLAYAN04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE BLAYAIS (LE),17W100P100P00958,330730000,Braud-et-Saint-Louis,CC de l'Estuaire,Gironde,Nouvelle-Aquitaine,01/05/1983,01/10/1983,01/01/2007,BLAYA,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
BLAYAN01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE BLAYAIS (LE),17W100P100P0092E,330730000,Braud-et-Saint-Louis,CC de l'Estuaire,Gironde,Nouvelle-Aquitaine,01/06/1981,01/12/1981,01/01/2007,BLAYA,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
CHIN2N04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE CHINON B,17W100P100P0109N,370110000,Avoine,"CC Chinon, Vienne et Loire",Indre-et-Loire,Centre-Val de Loire,01/11/1987,01/04/1988,03/01/2016,CHIN2,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,905000.0,905000.0,1.0,En service,RTE
CHIN2N03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE CHINON B,17W100P100P0108P,370110000,Avoine,"CC Chinon, Vienne et Loire",Indre-et-Loire,Centre-Val de Loire,01/10/1986,04/03/1987,03/01/2016,CHIN2,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,905000.0,905000.0,1.0,En service,RTE
CHIN2N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE CHINON B,17W100P100P0106T,370110000,Avoine,"CC Chinon, Vienne et Loire",Indre-et-Loire,Centre-Val de Loire,01/11/1982,01/02/1984,01/01/2007,CHIN2,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,905000.0,905000.0,1.0,En service,RTE
CHIN2N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE CHINON B,17W100P100P0107R,370110000,Avoine,"CC Chinon, Vienne et Loire",Indre-et-Loire,Centre-Val de Loire,01/11/1983,01/08/1984,01/01/2007,CHIN2,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,905000.0,905000.0,1.0,En service,RTE
